Прайс-лист на 2 сентября 2019 г.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Ценовая группа,,,,,,,,,,,,,Прайс-лист,Склад Запорожье основной
Артикул,,,,,"Номенклатура, Упаковка",,,,,,,,грн,
,,,,,,,,,,,,,Включает НДС,
4128RGNH5RV,,,,,"Hyundai Getz 5D (Хетчбек) задней двери неподвижное правое зеленое (сталинит) 2002-11, шт",,,,,,,,354.00,1.000
4128LGNH5RD,,,,,"Hyundai Getz 5D (Хетчбек) задней двери опускное левое зеленое (сталинит) 2002-11, шт",,,,,,,,471.00,1.000
4128RGNH5RD,,,,,"Hyundai Getz 5D (Хетчбек) задней двери опускное правое зеленое (сталинит) 2002-11, шт",,,,,,,,471.00,1.000
4128LGNH5FD,,,,,"Hyundai Getz 5D (Хетчбек) передней двери опускное левое зеленое (сталинит) 2002-11  , шт",,,,,,,,530.00,1.000
4136LGNRQ,,,,,"Hyundai H1 (Минивен) заднее салона левое зеленое (сталинит) 2007- (SG), шт",,,,,,,,492.00,1.000
4136RGNRQ,,,,,"Hyundai H1 (Минивен) заднее салона правое зеленое (сталинит) 2007- (SG), шт",,,,,,,,492.00,1.000
4136LGNFQ,,,,,"Hyundai H1 (Минивен) переднее салона левое зеленое (сталинит) 2007- (SG), шт",,,,,,,,507.00,1.000
4136RGNFQ,,,,,"Hyundai H1 (Минивен) переднее салона правое зеленое (сталинит) 2007- (SG), шт",,,,,,,,507.00,1.000
4107BCLV,,,,,"Hyundai H100 (Минивен) заднее с ЭО бесцветное (сталинит) 1993-09 (FU), шт",,,,,,,,"1,398.00",1.000
4107RGNFD,,,,,"Hyundai H100 (Минивен) передней двери опускное правое зеленое (сталинит) 2005-  , шт",,,,,,,,464.00,1.000
4116LGNVLRQ,,,,,"Hyundai H200 (Минивен) (дл. б.) заднее салона левое зеленое (сталинит) 1997-08 1202*537 (SG), шт",,,,,,,,485.00,2.000
4116LGNVSRQ,,,,,"Hyundai H200 (Минивен) (кор. б.) заднее салона левое зеленое (сталинит) 1997-08 956*537 (SG), шт",,,,,,,,448.00,1.000
4116RGNVSRQ,,,,,"Hyundai H200 (Минивен) (кор. б.) заднее салона правое зеленое (сталинит) 1997-08 956*537 (SG), шт",,,,,,,,448.00,1.000
4116AGNBL,,,,,"Hyundai H200 (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 1997-08 (SG), шт",,,,,,,,"1,325.00",2.000
4116LGNFQ,,,,,"Hyundai H200 (Минивен) переднее салона левое зеленое (сталинит) 1997-08 1013*552 (SG), шт",,,,,,,,450.00,1.000
4116RGNFQ,,,,,"Hyundai H200 (Минивен) переднее салона правое зеленое (сталинит) 1997-08 1013*552 (SG), шт",,,,,,,,450.00,1.000
4144AGNBL-SL,,,,,"Hyundai HD120 (Грузовик) ветровое З/П.ТЗ (триплекс) 1999-, шт",,,,,,,,"1,782.00",1.000
1461LCLL2FD,,,,,"Hyundai HD120 (Грузовик) опускное двери левое бесцветное (сталинит) 2007-  , шт",,,,,,,,545.00,2.000
1461RCLL2FD,,,,,"Hyundai HD120 (Грузовик) опускное двери правое бесцветное (сталинит) 2007-  , шт",,,,,,,,545.00,2.000
4198BCLL,,,,,"Hyundai HD72 (Грузовик) заднее кабины бесцветное (сталинит) 1999-  , шт",,,,,,,,545.00,2.000
4198LGNL2FD,,,,,"Hyundai HD72 (Грузовик) опускное двери левое зеленое (сталинит) 1999- , шт",,,,,,,,576.00,1.000
4198RGNL2FD,,,,,"Hyundai HD72 (Грузовик) опускное двери правое зеленое (сталинит) 1999- , шт",,,,,,,,576.00,2.000
4151LGNE5RD,,,,,"Hyundai i30 (II) (Комби) задней двери опускное левое зеленое (сталинит) 2012-  , шт",,,,,,,,455.00,2.000
4151RGNE5RD,,,,,"Hyundai i30 (II) (Комби) задней двери опускное правое зеленое (сталинит) 2012-  , шт",,,,,,,,455.00,2.000
4151LGNH5FD,,,,,"Hyundai i30 (II) (Хетчбек, Комби) передней двери опускное левое зеленое (сталинит) 2012- , шт",,,,,,,,589.00,1.000
4151RGNH5FD,,,,,"Hyundai i30 (II) (Хетчбек, Комби) передней двери опускное правое зеленое (сталинит) 2012- , шт",,,,,,,,589.00,1.000
4151BGNH,,,,,"Hyundai i30 (II) (Хетчбек) заднее с ЭО зеленое (сталинит) 2012-  , шт",,,,,,,,"1,290.00",2.000
4151RGNH5FD,,,,,"Hyundai i30 (II) (Хетчбек) передней двери опускное правое зеленое (сталинит) 2012-  (SEKURIT), шт",,,,,,,,"1,245.00",1.000
4135AGNBLPV,,,,,"Hyundai i30 (Хетчбек, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 2006-12 (SG), шт",,,,,,,,"1,184.00",1.000
4135AGNGYPV1G,,,,,"Hyundai i30 (Хетчбек, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 2007-12, шт",,,,,,,,"1,097.00",2.000
4135AGNBLHPV1G,,,,,"Hyundai i30 (Хетчбек, Комби) ветровое З/П.Ш.ТЗ с ЭО дд (триплекс) 2007-12, шт",,,,,,,,"1,448.00",1.000
4135LGNH5RD,,,,,"Hyundai i30 (Хетчбек) задней двери опускное левое зеленое (сталинит) 2007-  , шт",,,,,,,,471.00,1.000
4135RGNH5RD,,,,,"Hyundai i30 (Хетчбек) задней двери опускное правое зеленое (сталинит) 2007-  , шт",,,,,,,,383.00,1.000
4135LGNH5FD,,,,,"Hyundai i30 (Хетчбек) передней двери опускное левое зеленое (сталинит) 2007-  , шт",,,,,,,,530.00,1.000
4135RGNH5FD,,,,,"Hyundai i30 (Хетчбек) передней двери опускное правое зеленое (сталинит) 2007-  , шт",,,,,,,,530.00,1.000
4146AGNGYHPV,,,,,"Hyundai i40 (Седан, Комби) ветровое З/П.Ш.ТЗ дд (триплекс) 2011-, шт",,,,,,,,"1,525.00",1.000
4146AGNBLHPV,,,,,"Hyundai i40 (Седан, Комби) ветровое З/П.Ш.ТЗ с ЭО дд (триплекс) 2011-, шт",,,,,,,,"1,595.00",2.000
4141AGNBLHPV,,,,,"Hyundai ix35 (Внедорожник) ветровое З/П.Ш.ТЗ с ЭО дд (триплекс) 2009- (SG), шт",,,,,,,,"1,425.00",1.000
4141RGNR5RD,,,,,"Hyundai ix35 (Внедорожник) задней двери опускное правое зеленое (сталинит) 2010-  , шт",,,,,,,,471.00,1.000
4141LGNR5FD,,,,,"Hyundai ix35 (Внедорожник) передней двери опускное левое зеленое (сталинит) 2010- , шт",,,,,,,,414.00,3.000
4141RGNR5FD,,,,,"Hyundai ix35 (Внедорожник) передней двери опускное правое зеленое (сталинит) 2010- , шт",,,,,,,,414.00,1.000
4140AGNBLPV,,,,,"Hyundai ix55 (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2007-12 (SG), шт",,,,,,,,"1,138.00",1.000
4140AGNHPV,,,,,"Hyundai ix55 (Внедорожник) ветровое ТЗ с ЭО дд (триплекс) 2007-12 (SG), шт",,,,,,,,"1,425.00",1.000
4125AGNGY,,,,,"Hyundai Matrix (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2001-10, шт",,,,,,,,"1,097.00",1.000
4125AGNBL,,,,,"Hyundai Matrix (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2001-10 (XYG), шт",,,,,,,,"1,219.00",1.000
4125BGNH,,,,,"Hyundai Matrix (Хетчбек) заднее с ЭО зеленое (сталинит) 2001- , шт",,,,,,,,"1,114.00",2.000
4125LGNH5RD,,,,,"Hyundai Matrix (Хетчбек) задней двери опускное левое зеленое (сталинит) 2001- , шт",,,,,,,,371.00,1.000
4125RGNH5RD,,,,,"Hyundai Matrix (Хетчбек) задней двери опускное правое зеленое (сталинит) 2001- , шт",,,,,,,,371.00,1.000
AGNGY,,,,,"Hyundai Porter II (Минивен) ветровое З/П.Ш.ТЗ (триплекс) 2004-, шт",,,,,,,,"1,154.00",3.000
4123BGNR,,,,,"Hyundai Santa Fe (Внедорожник) заднее с ЭО зеленое (сталинит) 2001-06  , шт",,,,,,,,"1,299.00",2.000
4133BGNR,,,,,"Hyundai Santa Fe (Внедорожник) заднее с ЭО зеленое (сталинит) 2006-12, шт",,,,,,,,"1,366.00",2.000
4123LGNR5RD,,,,,"Hyundai Santa Fe (Внедорожник) задней двери опускное левое зеленое (сталинит) 2001-06  , шт",,,,,,,,383.00,1.000
4133LGNR5RD,,,,,"Hyundai Santa Fe (Внедорожник) задней двери опускное левое зеленое (сталинит) 2006-  , шт",,,,,,,,383.00,1.000
4123RGNR5RD,,,,,"Hyundai Santa Fe (Внедорожник) задней двери опускное правое зеленое (сталинит) 2001-06  , шт",,,,,,,,383.00,1.000
4123LGNR5FD,,,,,"Hyundai Santa Fe (Внедорожник) передней двери опускное левое зеленое (сталинит) 2001-06  , шт",,,,,,,,414.00,1.000
4133LGNR5FD,,,,,"Hyundai Santa Fe (Внедорожник) передней двери опускное левое зеленое (сталинит) 2006-, шт",,,,,,,,383.00,1.000
4123RGNR5FD,,,,,"Hyundai Santa Fe (Внедорожник) передней двери опускное правое зеленое (сталинит) 2001-06  , шт",,,,,,,,588.00,1.000
4133RGNR5FD,,,,,"Hyundai Santa Fe (Внедорожник) передней двери опускное правое зеленое (сталинит) 2006-, шт",,,,,,,,588.00,1.000
4123AGNBL,,,,,"Hyundai Santa Fe I (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2000-06 (SG), шт",,,,,,,,"1,083.00",2.000
4153BGNR,,,,,"Hyundai Santa Fe III (Внедорожник) заднее с ЭО зеленое (сталинит) 2012-, шт",,,,,,,,"1,560.00",1.000
4148LGNS4FD,,,,,"Hyundai Solaris (Седан, Хетчбек) передней двери опускное левое зеленое (сталинит) 2011- , шт",,,,,,,,383.00,5.000
4148RGNS4FD,,,,,"Hyundai Solaris (Седан, Хетчбек) передней двери опускное правое зеленое (сталинит) 2011- , шт",,,,,,,,383.00,5.000
4148BGNS,,,,,"Hyundai Solaris (Седан) заднее с ЭО зеленое (сталинит) 2011-  , шт",,,,,,,,"1,364.00",5.000
4148LGNS4RD,,,,,"Hyundai Solaris (Седан) задней двери опускное левое зеленое (сталинит) 2011-  , шт",,,,,,,,471.00,1.000
4148RGNS4RD,,,,,"Hyundai Solaris (Седан) задней двери опускное правое зеленое (сталинит) 2011-  , шт",,,,,,,,383.00,3.000
4148LGNH5RD,,,,,"Hyundai Solaris (Хетчбек) задней двери опускное левое ТЗ (сталинит) 2011-  , шт",,,,,,,,383.00,2.000
4148RGNH5RD,,,,,"Hyundai Solaris (Хетчбек) задней двери опускное правое ТЗ (сталинит) 2011-  , шт",,,,,,,,383.00,1.000
4168BGNS,,,,,"Hyundai Solaris II (Седан) заднее с ЭО зеленое (сталинит) 2017-  , шт",,,,,,,,"1,789.00",1.000
41A6AGNGYPV,,,,,"Hyundai Sonata (Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 2011-, шт",,,,,,,,"1,203.00",2.000
41A6AGNHPV,,,,,"Hyundai Sonata (Седан) ветровое ТЗ с ЭО дд (триплекс) 2010- (SG), шт",,,,,,,,"1,361.00",1.000
4117BGNS,,,,,"Hyundai Sonata (Седан) заднее с ЭО зеленое ( сталинит) 1999-05, шт",,,,,,,,"1,162.00",1.000
41A6LGNS4RD,,,,,"Hyundai Sonata (Седан) задней двери опускное левое зеленое (сталинит) 2010-, шт",,,,,,,,431.00,1.000
41A6RGNS4RD,,,,,"Hyundai Sonata (Седан) задней двери опускное правое зеленое (сталинит) 2010-, шт",,,,,,,,431.00,1.000
41A6LGNS4FD,,,,,"Hyundai Sonata (Седан) передней двери опускное левое зеленое (сталинит) 2010-, шт",,,,,,,,431.00,1.000
41A6RGNS4FD,,,,,"Hyundai Sonata (Седан) передней двери опускное правое зеленое (сталинит) 2010-, шт",,,,,,,,431.00,1.000
4130AGNGY,,,,,"Hyundai Sonata NF (Седан) ветровое З/П.Ш.ТЗ (триплекс) 2005-10, шт",,,,,,,,"1,097.00",2.000
4130BGNSAB,,,,,"Hyundai Sonata NF (Седан) заднее с ЭО зеленое (сталинит) 2005-10, шт",,,,,,,,"1,295.00",1.000
4130BGNSAB,,,,,"Hyundai Sonata NF (Седан) заднее с ЭО зеленое (сталинит) 2005-10 (XYG)  , шт",,,,,,,,"2,370.00",1.000
4130LGNS4RD,,,,,"Hyundai Sonata NF (Седан) задней двери опускное левое зеленое (сталинит) 2005-  , шт",,,,,,,,415.00,1.000
4130RGNS4RD,,,,,"Hyundai Sonata NF (Седан) задней двери опускное правое зеленое (сталинит) 2005-  , шт",,,,,,,,415.00,1.000
4130LGNS4FD,,,,,"Hyundai Sonata NF (Седан) передней двери опускное левое зеленое (сталинит)  2005-  , шт",,,,,,,,415.00,1.000
4130RGNS4FD,,,,,"Hyundai Sonata NF (Седан) передней двери опускное правое зеленое (сталинит) 2005-  , шт",,,,,,,,393.00,1.000
4116LGNFD,,,,,"Hyundai Starex (Минивен) опускное двери левое зеленое (сталинит) 1997-07  , шт",,,,,,,,431.00,1.000
4116RGNFD,,,,,"Hyundai Starex (Минивен) опускное двери правое зеленое (сталинит) 1997-07  , шт",,,,,,,,431.00,1.000
4136BGNV,,,,,"Hyundai Starex II (Минивен) заднее с ЭО зеленое (сталинит) 2007-  , шт",,,,,,,,"1,176.00",2.000
4136RGNFD,,,,,"Hyundai Starex II (Минивен) опускное двери правое зеленое (сталинит) 2007-  , шт",,,,,,,,490.00,1.000
4124AGNGY,,,,,"Hyundai Terracan (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2001-07, шт",,,,,,,,"1,096.00",1.000
4129AGNBLHV,,,,,"Hyundai Tucson (Внедорожник) ветровое З/П.Ш.ТЗ с ЭО (триплекс) 2004- (XYG), шт",,,,,,,,"1,362.00",1.000
4129LGNR5RD,,,,,"Hyundai Tucson (Внедорожник) задней двери опускное левое зеленое (сталинит) 2004-  , шт",,,,,,,,415.00,2.000
4129RGNR5RD,,,,,"Hyundai Tucson (Внедорожник) задней двери опускное правое зеленое (сталинит) 2004-  , шт",,,,,,,,415.00,5.000
4147AGNGYV,,,,,"Hyundai Veloster (Хетчбек) ветровое З/П.Ш.ТЗ (триплекс) 2012-, шт",,,,,,,,"1,711.00",1.000
6056AGNGYPV,,,,,"Infiniti EX35 (Внедорожник) ветровое З/П.Ш.ТЗ дд (триплекс) 2008-, шт",,,,,,,,"1,058.00",1.000
6056AGNGYHPV,,,,,"Infiniti EX35 (Внедорожник) ветровое З/П.Ш.ТЗ с ЭО дд (триплекс) 2008-, шт",,,,,,,,"1,448.00",1.000
6033AGNBLV,,,,,"Infiniti FX35 (Внедорожник) ветровое З/П.Ш.ТЗ (триплекс) 2003-09 (SG), шт",,,,,,,,"1,169.00",1.000
6054AGNGYPV,,,,,"Infiniti G (Седан) ветровое З/П.Ш.ТЗ дд (триплекс) 2007-13 , шт",,,,,,,,"1,234.00",1.000
